delta_call,delta_put,weeks,equity_final,cagr,sharpe_w,max_dd,calmar,win_rate,usd_final,bh_final,max_dd_usd
0.5,0.4,208,3.2726006172861952,0.3450029968045609,3.2475044526356314,-0.1042432243453485,3.309596369175965,0.7980769230769231,4.998359120583402,1.5273355062581035,-0.111739504069029
0.5,0.45,208,3.4102348583962643,0.3589268271850037,3.216869649231253,-0.10424322434534838,3.443166972616959,0.7980769230769231,5.208572783907687,1.5273355062581035,-0.11173950406902922
0.5,0.5,208,3.7378829139041434,0.39045335179560836,3.4011746011087163,-0.10042926512380768,3.8878443580590116,0.8173076923076923,5.709001292641295,1.5273355062581035,-0.11615868391434825
0.5,0.55,208,4.1517731516178324,0.4274417799747716,3.725484127604708,-0.09240621270006266,4.625682272708075,0.8076923076923077,6.341150548395013,1.5273355062581035,-0.11615868391434847
0.5,0.6,208,4.391320309792057,0.4476006821740044,3.681069387020261,-0.09240621270006266,4.843837541820398,0.7980769230769231,6.707019428497732,1.5273355062581035,-0.11615868391434836
0.55,0.05,208,1.722475347490464,0.14561384547713807,1.7064843605999687,-0.12388406888655223,1.1754041240805955,0.6971153846153846,2.630797756876455,1.5273355062581035,-0.06465698689108856
0.55,0.1,208,1.803059207272314,0.15878401858620506,1.8162666037316675,-0.12146986454036535,1.307188570490584,0.6923076923076923,2.753876347152594,1.5273355062581035,-0.08021554387357077
0.55,0.15,208,1.9778230648004922,0.18589669658470065,2.036318041485758,-0.11945637920895624,1.5561889437442704,0.7067307692307693,3.0207993919660137,1.5273355062581035,-0.09245542339547497
0.55,0.2,208,2.1657572392151607,0.2131163154537199,2.2676165582722225,-0.11672184299974742,1.8258477588824662,0.7163461538461539,3.3078379293888416,1.5273355062581035,-0.09755016088537449
0.55,0.25,208,2.4007115224605835,0.24475819513339858,2.495730522162821,-0.11466233383067204,2.134599802362701,0.7211538461538461,3.6666919485370006,1.5273355062581035,-0.10429884984993643
0.55,0.3,208,2.670871931597653,0.27838970928032714,2.739461311215583,-0.10885149128856497,2.5575185602401795,0.7259615384615384,4.079317533797258,1.5273355062581035,-0.10429884984993643
0.55,0.35,208,2.871004343115292,0.30169267923706156,2.8853745855446946,-0.10885149128856486,2.7715989525331857,0.7548076923076923,4.384986871861201,1.5273355062581035,-0.10871802969525557
0.55,0.4,208,3.1973314584700807,0.3372016850128947,3.1652400888916263,-0.102731920535157,3.2823457719501823,0.7788461538461539,4.883397861797358,1.5273355062581035,-0.11220540589287786
